#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,w1,oiii_5007_flux,h_alpha_flux,h_beta_flux,nii_6584_flux,H_FWHM,forbidden_FWHM,class,subclass,w1mpro,w2mpro,w3mpro,wise_cntr,sdss_objid,specobjid
255.914499007271,64.1342820148322,255.9144667,64.1343027,16.97879,12.36,66.44958,1335.11,318.4162,755.6008,173.1348,177.6953,GALAXY,STARFORMING,12.36,12.263,8.383,2543163601241040558,1237671768542150702,393100449323968512
33.3158396460737,-7.66185447792603,33.3157664,-7.6619135,15.92575,10.876,124.3489,255.7248,85.57474,300.8698,248.771,260.9493,GALAXY,BROADLINE,10.876,10.978,9.945,335007601241021173,1237679437739982915,751129480658970624
166.143625885352,16.0617934181222,166.1437003,16.0617736,16.02755,10.744,180.923,255.4175,97.50036,311.3887,400.0899,430.3029,GALAXY,BROADLINE,10.744,10.799,10.005,1666116601241005911,1237668584894824466,2800130175373699072
131.923706102511,13.4191168062218,131.9237111,13.4191585,16.45256,11.793,79.3125,127.7158,45.06057,42.68523,131.133,188.9513,GALAXY,,11.793,11.866,10.939,1318113601241009338,1237667730198626365,2733854362374793216
199.984779468203,15.8505301745742,199.9848336,15.850573,16.42509,10.82,108.0444,113.1519,77.4583,120.3634,413.5399,407.6412,GALAXY,,10.82,10.883,10.111,2003115101241035286,1237668588655607839,2933035853007579136
175.058085207475,24.697064173097,175.0580828,24.6971116,15.73584,10.018,1141.63,1631.415,363.054,1467.988,316.3321,259.3512,GALAXY,AGN,10.018,9.864,7.144,1750124201241025616,1237667911663026195,2820512097362798592
175.043385128016,25.3096070257553,175.043437,25.3096479,16.31736,11.429,110.7594,127.4131,65.37457,120.7691,294.5396,313.1858,GALAXY,BROADLINE,11.429,11.504,10.812,1750125701241010288,1237667448336547859,2820527215647680512
245.913293861925,50.9695845895462,245.9133385,50.9695928,16.44425,11.257,566.772,465.7422,131.8963,712.1586,361.1327,366.8994,GALAXY,AGN,11.257,11.173,8.905,2455151401241001946,1237668612271374412,3247252637430605824
42.2169302600869,-0.524044489647137,42.2168927,-0.5239922,16.51784,11.874,123.6174,204.149,75.47269,254.5491,388.6404,328.0407,GALAXY,BROADLINE,11.874,11.963,11.021,423100001241003254,1237657070091894795,797221008296667136
131.827666148115,2.76226467790364,131.8276787,2.7622617,16.51297,11.899,53.58146,56.2981,22.95357,40.57557,237.0131,224.9391,GALAXY,BROADLINE,11.899,12.034,11.577,1315103001241012591,1237654601018572833,635028475492722688
