plate,mjd,fiber,redshift,subclass,e_bv_sfd,h_beta_flux
1323,52797,443,0.1215033,STARBURST BROADLINE,0.007713778,2143.585
1324,53088,142,0.2908029,STARBURST BROADLINE,0.01254126,322.3501
1330,52822,568,0.2367526,STARBURST BROADLINE,0.01609506,152.3552
1344,52792,91,0.2227076,BROADLINE,0.009315342,610.4956
1344,52792,487,0.2250107,BROADLINE,0.01666465,403.0176
1344,52792,615,0.2574271,BROADLINE,0.0183753,167.0749
1345,52814,498,0.2742291,BROADLINE,0.01223964,491.357
1346,52822,86,0.2068584,STARBURST BROADLINE,0.01410861,1116.408
1346,52822,116,0.1680428,BROADLINE,0.01594684,343.0688
1346,52822,278,0.2318444,BROADLINE,0.005626137,245.0868
1349,52797,185,0.1619562,BROADLINE,0.009896671,168.8464
1350,52786,193,0.1456012,BROADLINE,0.009928791,789.1295
1350,52786,204,0.2472644,STARBURST BROADLINE,0.009167373,160.9789
1350,52786,247,0.2959745,STARBURST BROADLINE,0.008952374,280.5206
1351,52790,88,0.2460663,STARBURST BROADLINE,0.0156272,840.9855
1351,52790,103,0.2047822,BROADLINE,0.01585429,125.6766
1351,52790,424,0.2617957,STARBURST BROADLINE,0.01174529,627.5483
1351,52790,492,0.2834726,BROADLINE,0.01106723,213.1042
1354,52814,466,0.2494513,BROADLINE,0.02049805,252.4941
1372,53062,486,0.2288463,STARBURST BROADLINE,0.01610659,323.9026
1372,53062,589,0.191827,STARFORMING,0.02000647,240.5085
1373,53063,434,0.213071,BROADLINE,0.02220594,124.0855
1375,53084,87,0.1966696,BROADLINE,0.01439459,973.7367
1376,53089,94,0.177022,BROADLINE,0.01813698,116.7309
1377,53050,206,0.2667046,BROADLINE,0.009693634,358.2425
1377,53050,358,0.1610482,BROADLINE,0.004043139,2023.652
1377,53050,514,0.2707613,BROADLINE,0.008678371,91.76868
1377,53050,554,0.1604147,STARBURST BROADLINE,0.008378413,493.3671
1378,53061,158,0.2654042,STARFORMING,0.01750049,114.8639
1378,53061,208,0.2766464,BROADLINE,0.02620601,339.8229
1378,53061,574,0.1676342,BROADLINE,0.0134091,174.0111
1380,53084,510,0.2762372,BROADLINE,0.01242941,451.7043
1381,53089,326,0.2489426,STARBURST BROADLINE,0.01171536,312.3458
1381,53089,501,0.2642231,STARBURST BROADLINE,0.01073162,1227.179
1383,53116,321,0.2460904,STARBURST BROADLINE,0.01109105,358.9481
1383,53116,476,0.1133184,STARBURST BROADLINE,0.01329409,1849.03
1384,53121,291,0.2095468,BROADLINE,0.01839331,431.3989
1396,53112,175,0.2737464,BROADLINE,0.01339327,469.2579
1397,53119,190,0.2679094,BROADLINE,0.01369871,2752.637
1397,53119,316,0.2461701,BROADLINE,0.01377443,1461.512
1397,53119,399,0.2688065,BROADLINE,0.01474,149.0531
1398,53146,482,0.2308415,BROADLINE,0.01076291,598.3192
1455,53089,68,0.1499933,BROADLINE,0.01490749,835.6785
1459,53117,78,0.2682051,BROADLINE,0.009799751,134.0795
1459,53117,225,0.2251981,BROADLINE,0.01384171,141.1624
1460,53138,197,0.2694953,BROADLINE,0.01592537,139.8595
1461,53062,15,0.297337,STARBURST BROADLINE,0.04118967,103.6456
1461,53062,358,0.2715686,STARFORMING,0.01101758,97.5112
1462,53112,64,0.2133427,BROADLINE,0.0132293,212.0715
1464,53091,390,0.1815409,BROADLINE,0.007645051,1187.199
1464,53091,415,0.2252122,STARBURST BROADLINE,0.007971379,359.2988
1464,53091,550,0.230995,STARBURST BROADLINE,0.006319171,154.1145
1465,53082,30,0.2764856,BROADLINE,0.01350614,313.8999
1465,53082,240,0.2319155,BROADLINE,0.02024157,281.9127
1467,53115,48,0.2585572,BROADLINE,0.008660352,959.7911
1467,53115,637,0.2592131,BROADLINE,0.008487785,67.73352
1642,53115,454,0.1844595,BROADLINE,0.006343389,907.2689
1643,53143,532,0.2590016,BROADLINE,0.009165602,351.6052
1644,53144,349,0.2119145,BROADLINE,0.009435534,765.9966
1645,53172,109,0.2961887,BROADLINE,0.01434735,49.70665
1645,53172,618,0.2620519,STARBURST BROADLINE,0.009841723,81.72304
1647,53531,225,0.2384939,BROADLINE,0.01746785,155.1494
1649,53149,208,0.2517488,BROADLINE,0.02192532,520.8255
1650,53174,545,0.2739726,STARBURST BROADLINE,0.01831895,2162.26
1651,53442,373,0.2409074,STARBURST BROADLINE,0.02203653,479.9867
1667,53430,84,0.2330132,STARBURST BROADLINE,0.01040766,381.1491
1667,53430,543,0.2508286,BROADLINE,0.01272042,15.71955
1669,53433,63,0.2932138,STARBURST BROADLINE,0.01239528,719.9677
1669,53433,240,0.2349069,STARBURST BROADLINE,0.01570703,183.8473
1672,53460,237,0.2744993,STARBURST BROADLINE,0.01453477,457.9528
1672,53460,363,0.1854482,STARBURST BROADLINE,0.01791805,237.2337
1672,53460,619,0.1798888,BROADLINE,0.02124286,942.0079
1673,53462,108,0.2206272,STARBURST BROADLINE,0.01719172,2303.882
1673,53462,270,0.199074,STARBURST BROADLINE,0.01568374,67.73324
1673,53462,598,0.2454427,STARBURST BROADLINE,0.02658889,188.0252
1675,53466,62,0.2880693,BROADLINE,0.01899651,110.4995
1675,53466,428,0.2581467,BROADLINE,0.01607737,525.9301
1675,53466,506,0.2923579,BROADLINE,0.0148366,1007.271
1676,53147,255,0.2355146,STARBURST BROADLINE,0.02132693,272.791
1676,53147,518,0.2855433,STARBURST BROADLINE,0.018842,1055.885
1677,53148,15,0.1503511,STARBURST BROADLINE,0.02138945,311.1623
1677,53148,88,0.2507105,STARBURST BROADLINE,0.01698339,138.4066
1695,53473,400,0.2067854,BROADLINE,0.03187785,251.4464
1696,53116,220,0.1691393,BROADLINE,0.02553231,208.9556
1696,53116,244,0.2033559,BROADLINE,0.02684911,1108.102
1696,53116,445,0.2983111,STARBURST BROADLINE,0.02363019,216.2386
1696,53116,549,0.2204827,STARBURST BROADLINE,0.02258712,475.9464
1699,53148,331,0.2017202,STARBURST BROADLINE,0.02397494,287.0493
1700,53502,546,0.2733904,STARBURST BROADLINE,0.03326566,156.1231
1701,53142,131,0.2909273,STARBURST BROADLINE,0.03812363,148.6421
1701,53142,200,0.1263564,BROADLINE,0.02560516,1036.224
1702,53144,597,0.2667643,BROADLINE,0.02177011,173.2774
1704,53178,389,0.1992838,BROADLINE,0.01664837,243.5901
1705,53848,133,0.2870272,BROADLINE,0.02542637,173.1083
1708,53503,400,0.1972754,AGN BROADLINE,0.02252524,238.5981
1709,53533,230,0.2416667,STARBURST BROADLINE,0.03044956,292.4267
1711,53535,436,0.2304113,STARBURST BROADLINE,0.03134626,400.3225
1713,53827,19,0.279006,STARBURST BROADLINE,0.03018575,195.2866
1714,53521,408,0.2603083,STARBURST,0.0226487,177.4319
1718,53850,79,0.2820169,STARBURST BROADLINE,0.03866247,452.3181
1718,53850,490,0.2848544,BROADLINE,0.04993421,245.4682
1770,53171,58,0.2664749,STARBURST BROADLINE,0.02835449,457.1269
1771,53498,100,0.1427399,BROADLINE,0.03107642,1315.658
1771,53498,107,0.2852145,STARBURST BROADLINE,0.02813893,1963.768
1771,53498,353,0.2522766,BROADLINE,0.01962275,81.94311
1772,53089,77,0.1139307,STARBURST BROADLINE,0.02399424,3027.972
1773,53112,211,0.1967043,STARBURST BROADLINE,0.02145162,393.8115
1773,53112,333,0.1649692,STARBURST BROADLINE,0.02362608,929.8559
1774,53759,602,0.231364,STARBURST BROADLINE,0.02060946,266.3202
1776,53858,28,0.2828774,BROADLINE,0.02369179,125.221
1776,53858,612,0.1341881,BROADLINE,0.03179598,1311.827
1777,53857,612,0.2141182,STARBURST BROADLINE,0.02463817,299.8891
1778,53883,283,0.2384233,BROADLINE,0.02366314,99.04922
1778,53883,350,0.2591701,BROADLINE,0.02502133,173.6967
1789,54259,190,0.1923565,STARBURST BROADLINE,0.01943793,1144.884
1790,53876,217,0.2401559,STARBURST BROADLINE,0.02499907,37.66515
1790,53876,472,0.2815173,STARFORMING,0.02462084,25.76958
1792,54270,124,0.256806,BROADLINE,0.03150423,144.2618
1793,53883,280,0.2743539,STARBURST BROADLINE,0.0220378,223.0222
1794,54504,190,0.2318723,BROADLINE,0.03168264,462.8033
1794,54504,331,0.2724296,BROADLINE,0.03155188,725.9919
1795,54507,106,0.2418267,BROADLINE,0.04276688,655.4658
1795,54507,457,0.153836,STARBURST BROADLINE,0.03453428,4630.266
1796,53884,199,0.2568817,BROADLINE,0.02566343,231.5889
1796,53884,283,0.1716289,STARBURST BROADLINE,0.03219263,689.6315
1797,54507,139,0.1993042,BROADLINE,0.03719714,205.9592
1798,53851,410,0.2800465,STARBURST BROADLINE,0.01987468,48.78432
1798,53851,559,0.2746552,STARBURST BROADLINE,0.01842859,86.26176
1801,54156,358,0.2775687,STARBURST BROADLINE,0.02498446,128.327
1802,53885,192,0.1909368,STARBURST BROADLINE,0.02850022,529.3924
1802,53885,491,0.2478844,BROADLINE,0.02514256,49.07101
1804,53886,238,0.2424477,STARBURST BROADLINE,0.02780107,157.8835
1804,53886,633,0.2801969,BROADLINE,0.03139109,135.7899
1807,54175,282,0.2788069,STARBURST BROADLINE,0.02490853,360.7906
1809,53792,602,0.17813,STARBURST BROADLINE,0.02353993,2506.536
1810,53794,439,0.2848062,BROADLINE,0.02342751,483.3466
1811,53533,15,0.2299342,BROADLINE,0.02184496,494.93
1811,53533,122,0.2306872,STARBURST BROADLINE,0.02773762,1004.002
1813,53903,285,0.1868422,STARBURST BROADLINE,0.02756523,502.7711
1813,53903,302,0.2567506,BROADLINE,0.02592402,180.3115
1813,53903,471,0.2568896,BROADLINE,0.02811796,173.0147
1814,54555,125,0.1622115,BROADLINE,0.02658819,1256.502
1814,54555,573,0.129768,STARBURST BROADLINE,0.02729913,1777.444
1815,53884,156,0.2695875,BROADLINE,0.03335515,295.1519
1816,53919,420,0.1642324,STARBURST BROADLINE,0.03392677,1217.472
1817,53851,35,0.2825226,STARBURST BROADLINE,0.03691469,497.5895
1818,54539,268,0.2681072,STARBURST BROADLINE,0.04812236,592.9573
1826,53499,495,0.2375394,AGN BROADLINE,0.02834392,34.24898
1829,53494,249,0.1170313,STARBURST BROADLINE,0.03974076,1324.26
1829,53494,464,0.2076814,BROADLINE,0.03335693,1192.412
1831,54557,501,0.2876647,STARBURST BROADLINE,0.0306989,2066.256
1834,54562,341,0.1740427,STARBURST BROADLINE,0.05150189,102.6267
1838,53467,410,0.2799086,BROADLINE,0.009300258,223.9284
1839,53471,511,0.2769306,STARBURST BROADLINE,0.01637867,281.2191
1841,53491,116,0.2458225,BROADLINE,0.01225542,52.6361
1841,53491,317,0.2018719,STARBURST BROADLINE,0.01171215,518.0533
1842,53501,67,0.2753552,BROADLINE,0.01253746,437.241
1842,53501,291,0.264246,BROADLINE,0.01356167,97.20817
1843,53816,565,0.2178915,BROADLINE,0.01554753,369.7131
1844,54138,446,0.1936767,STARBURST BROADLINE,0.02064313,206.9606
1845,54144,39,0.2079677,BROADLINE,0.02687265,341.3671
1846,54173,28,0.2843701,BROADLINE,0.03656408,118.1586
1846,54173,125,0.2282974,BROADLINE,0.03346565,588.8925
1846,54173,426,0.2689301,BROADLINE,0.02631223,1164.139
1975,53734,180,0.2404729,BROADLINE,0.01466617,51.91676
1984,53433,609,0.178252,BROADLINE,0.0207103,448.1307
1985,53431,429,0.2493404,STARBURST BROADLINE,0.01496001,67.56476
1987,53765,82,0.2738303,BROADLINE,0.01495895,388.1747
1987,53765,164,0.1630809,STARBURST BROADLINE,0.01457802,287.6584
1987,53765,464,0.2703313,BROADLINE,0.01456036,213.1635
1993,53762,142,0.2207066,BROADLINE,0.008206356,206.4684
2002,53471,538,0.20616,STARBURST BROADLINE,0.01331502,655.6048
2005,53472,40,0.171704,STARBURST BROADLINE,0.01027713,772.0214
2005,53472,441,0.1790504,STARBURST BROADLINE,0.004261803,468.7558
2006,53476,618,0.1863378,STARBURST BROADLINE,0.01489416,1308.8
2006,53476,623,0.2805525,STARBURST BROADLINE,0.009496449,345.6085
2006,53476,628,0.1473606,BROADLINE,0.01154495,495.8312
2009,53904,70,0.2588019,BROADLINE,0.01037959,171.1441
2009,53904,546,0.2466348,BROADLINE,0.01192367,244.6292
2014,53460,440,0.2473611,STARBURST BROADLINE,0.01538688,574.8809
2016,53799,61,0.1829528,STARBURST BROADLINE,0.01161656,1984.522
2016,53799,86,0.1946741,STARBURST BROADLINE,0.0137236,645.0529
2017,53474,168,0.2114582,STARBURST BROADLINE,0.01337574,172.4877
2017,53474,180,0.2275464,STARBURST BROADLINE,0.01299102,210.1016
2018,53800,534,0.2129434,BROADLINE,0.01297085,203.2156
2018,53800,568,0.176591,BROADLINE,0.01423711,203.922
2021,53475,595,0.270842,BROADLINE,0.02172846,998.0123
2022,53827,553,0.2069422,BROADLINE,0.01744323,72.75501
2023,53851,192,0.2158535,BROADLINE,0.01001926,539.6846
2023,53851,531,0.282989,BROADLINE,0.01149502,480.0306
2023,53851,612,0.2950774,STARBURST BROADLINE,0.01123934,199.7093
2024,53503,225,0.2318997,BROADLINE,0.01429909,39.36084
2024,53503,237,0.2464555,STARBURST BROADLINE,0.01462414,299.1662
2033,53476,57,0.1894373,STARBURST BROADLINE,0.01205688,569.4219
2033,53476,104,0.1401217,STARBURST BROADLINE,0.01408733,589.8008
2033,53476,357,0.2463993,STARBURST BROADLINE,0.01078983,596.792
2033,53476,512,0.2848447,AGN BROADLINE,0.01505516,3167.782
2093,53818,123,0.176481,BROADLINE,0.009473771,248.2047
2094,53851,630,0.1175316,STARBURST BROADLINE,0.01869195,1342.066
2101,53858,118,0.2842707,STARBURST BROADLINE,0.009138895,81.6624
2101,53858,496,0.2419932,BROADLINE,0.009150045,215.9268
2110,53467,14,0.2226619,BROADLINE,0.0114112,98.33443
2110,53467,43,0.2203435,BROADLINE,0.01197363,110.4959
2110,53467,440,0.2396989,STARBURST BROADLINE,0.01031091,128.4532
2110,53467,518,0.2419603,BROADLINE,0.01042762,375.6497
2115,53535,265,0.2934271,BROADLINE,0.01461789,183.9163
2115,53535,556,0.2988524,BROADLINE,0.01409902,146.7687
2116,53854,520,0.2972019,STARBURST BROADLINE,0.01710663,150.8058
2116,53854,621,0.1132909,STARBURST BROADLINE,0.01434177,218.7301
2118,53820,564,0.2164237,BROADLINE,0.01273211,86.3111
2119,53792,479,0.1637161,STARBURST BROADLINE,0.0166308,2766.563
2120,53852,59,0.187615,BROADLINE,0.01497059,854.1714
2121,54180,631,0.2565132,BROADLINE,0.01584919,164.8087
2122,54178,46,0.2514291,BROADLINE,0.01732541,215.3567
2122,54178,200,0.2972041,BROADLINE,0.01279543,268.0277
2122,54178,436,0.1963692,BROADLINE,0.01176638,356.9352
2123,53793,443,0.07700984,BROADLINE,0.0183279,1357.127
2124,53770,91,0.1303311,STARBURST BROADLINE,0.01703302,1565.531
2125,53795,432,0.1877306,BROADLINE,0.0132731,267.1736
2126,53794,85,0.2475406,BROADLINE,0.01650935,246.484
2126,53794,496,0.2252883,STARBURST BROADLINE,0.02109288,205.0993
2129,54252,18,0.113312,STARBURST BROADLINE,0.02217845,562.6619
2130,53881,427,0.292812,BROADLINE,0.01260087,281.8895
2131,53819,15,0.1453624,STARBURST BROADLINE,0.0384269,420.1388
2132,53493,155,0.2327143,BROADLINE,0.05799693,647.4112
2133,53917,43,0.255357,STARBURST BROADLINE,0.01663935,370.9969
2134,53876,268,0.2622485,STARBURST BROADLINE,0.01721451,268.1367
2137,54206,99,0.2184688,STARBURST BROADLINE,0.02096188,165.1788
2137,54206,441,0.2496374,STARBURST BROADLINE,0.01779235,322.4945
2137,54206,533,0.1996945,STARBURST BROADLINE,0.01808373,119.1435
2142,54208,292,0.2570201,BROADLINE,0.02573458,112.5764
